Inserted List,ORF Name,Gene Name,UniProt_Acc,Description
YAL054C,YAL054C,ACS1,Q01574,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"
YLR153C,YLR153C,ACS2,P52910,"Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions"
YFL039C,YFL039C,ACT1,P60010,"Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"
YDR448W,YDR448W,ADA2,Q02336,"Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes"
YMR184W,YMR184W,ADD37,Q03233,Protein of unknown function involved in ER-associated protein degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YMR184W is not an essential gene
YKL206C,YKL206C,ADD66,P36040,Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly
YAR015W,YAR015W,ADE1,P27616,"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine"
YNL220W,YNL220W,ADE12,P80210,"Adenylosuccinate synthase, catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence"
YLR359W,YLR359W,ADE13,Q05911,"Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency"
YLR028C,YLR028C,ADE16,P54113,"Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade17p; ade16 ade17 mutants require adenine and histidine"
YMR120C,YMR120C,ADE17,P38009,"Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine"
YOR128C,YOR128C,ADE2,P21264,"Phosphoribosylaminoimidazole carboxylase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine"
YGR204W,YGR204W,ADE3,P07245,"Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine"
YMR300C,YMR300C,ADE4,P04046,"Phosphoribosylpyrophosphate amidotransferase (PRPPAT; amidophosphoribosyltransferase), catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway"
YGL234W,YGL234W,"ADE5,7",P07244,"Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities"
YGR061C,YGR061C,ADE6,P38972,"Formylglycinamidine-ribonucleotide (FGAM)-synthetase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway"
YDR408C,YDR408C,ADE8,P04161,"Phosphoribosyl-glycinamide transformylase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway"
YCL058W-A,YCL058W-A,ADF1,Q2V2Q1,Transcriptional repressor encoded by the antisense strand of the FYV5 gene; negatively regulates transcription of FYV5 by binding to the promoter on the sense strand
YOL086C,YOL086C,ADH1,P00330,"Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway"
YMR303C,YMR303C,ADH2,P00331,"Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1"
YMR083W,YMR083W,ADH3,P07246,Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production
YGL256W,YGL256W,ADH4,P10127,"Alcohol dehydrogenase isoenzyme type IV, dimeric enzyme demonstrated to be zinc-dependent despite sequence similarity to iron-activated alcohol dehydrogenases; transcription is induced in response to zinc deficiency"
YBR145W,YBR145W,ADH5,P38113,Alcohol dehydrogenase isoenzyme V; involved in ethanol production
YMR318C,YMR318C,ADH6,Q04894,NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance
YCR105W,YCR105W,ADH7,P25377,NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance
YMR009W,YMR009W,ADI1,Q03677,Acireductone dioxygenease involved in the methionine salvage pathway; ortholog of human MTCBP-1; transcribed with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage; ADI1 mRNA is induced in heat shock conditions
YDR226W,YDR226W,ADK1,P07170,"Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence"
YER170W,YER170W,ADK2,P26364,"Mitochondrial adenylate kinase, catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background"
YJR105W,YJR105W,ADO1,P47143,"Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle"
YCR011C,YCR011C,ADP1,P25371,Putative ATP-dependent permease of the ABC transporter family of proteins
YDR216W,YDR216W,ADR1,P07248,"Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization"
YCR010C,YCR010C,ADY2,P25613,Acetate transporter required for normal sporulation; phosphorylated in mitochondria
YDL239C,YDL239C,ADY3,Q07732,"Protein required for spore wall formation, thought to mediate assembly of a Don1p-containing structure at the leading edge of the prospore membrane via interaction with spindle pole body components; potentially phosphorylated by Cdc28p"
YLR227C,YLR227C,ADY4,Q05955,"Structural component of the meiotic outer plaque, which is a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane"
YMR064W,YMR064W,AEP1,P32493,Protein required for expression of the mitochondrial OLI1 gene encoding subunit 9 of F1-F0 ATP synthase
YMR282C,YMR282C,AEP2,P22136,"Mitochondrial protein, likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader"
YPL005W,YPL005W,AEP3,Q12089,Protein that may facilitate use of unformylated tRNA-Met in mitochondrial translation initiation; localized to the matrix face of the mitochondrial inner membrane; stabilizes the bicistronic AAP1-ATP6 mRNA
YEL052W,YEL052W,AFG1,P32317,Conserved protein that may act as a chaperone in the degradation of misfolded or unassembled cytochrome c oxidase subunits; localized to matrix face of the mitochondrial inner membrane; member of the AAA family but lacks a protease domain
YLR397C,YLR397C,AFG2,P32794,"ATPase of the CDC48/PAS1/SEC18 (AAA) family, forms a hexameric complex; is essential for pre-60S maturation and release of several preribosome maturation factors; may be involved in degradation of aberrant mRNAs"
YER017C,YER017C,AFG3,P39925,"Component, with Yta12p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes"
YOR129C,YOR129C,AFI1,Q99222,"Arf3p polarization-specific docking factor, required for the polarized distribution of the ADP-ribosylation factor, Arf3p; participates in polarity development and maintenance of a normal haploid budding pattern; interacts with Cnm7p"
YDR085C,YDR085C,AFR1,P33304,Protein required for pheromone-induced projection (shmoo) formation; regulates septin architecture during mating; has an RVXF motif that mediates targeting of Glc7p to mating projections; interacts with Cdc12p
YGL071W,YGL071W,AFT1,P22149,Transcription factor involved in iron utilization and homeostasis; binds the consensus site PyPuCACCCPu and activates the expression of target genes in response to changes in iron availability
YPL202C,YPL202C,AFT2,Q08957,Iron-regulated transcriptional activator; activates genes involved in intracellular iron use and required for iron homeostasis and resistance to oxidative stress; similar to Aft1p
YNR044W,YNR044W,AGA1,P32323,"Anchorage subunit of a-agglutinin of a-cells, highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds"
YGL032C,YGL032C,AGA2,P32781,"Adhesion subunit of a-agglutinin of a-cells, C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds"
YPR021C,YPR021C,AGC1,Q12482,"Mitochondrial amino acid transporter, acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis"
YDR524C,YDR524C,AGE1,Q04412,"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in the secretory and endocytic pathways; contains C2C2H2 cysteine/histidine motif"
YIL044C,YIL044C,AGE2,P40529,"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in Trans-Golgi-Network (TGN) transport; contains C2C2H2 cysteine/histidine motif"
YCL025C,YCL025C,AGP1,P25376,"Low-affinity amino acid permease with broad substrate range, involved in uptake of asparagine, glutamine, and other amino acids; expression is regulated by the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)"
YBR132C,YBR132C,AGP2,P38090,"High affinity polyamine permease, preferentially uses spermidine over putrescine; expression is down-regulated by osmotic stress; plasma membrane carnitine transporter, also functions as a low-affinity amino acid permease"
YFL055W,YFL055W,AGP3,P43548,"Low-affinity amino acid permease, may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation; plays a role in regulating Ty1 transposition"
YFL030W,YFL030W,AGX1,P43567,"Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; has similarity to mammalian and plant alanine:glyoxylate aminotransferases"
YDR214W,YDR214W,AHA1,Q12449,Co-chaperone that binds to Hsp82p and activates its ATPase activity; similar to Hch1p; expression is regulated by stresses such as heat shock
YOR023C,YOR023C,AHC1,Q12433,"Subunit of the Ada histone acetyltransferase complex, required for structural integrity of the complex"
YCR082W,YCR082W,AHC2,P25649,Component of the ADA histone acetyltransferase complex; Ach2p and Ach1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; may tether Ach1p to the complex
YLR109W,YLR109W,AHP1,P38013,"Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p"
YHR093W,YHR093W,AHT1,P29589,"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; multicopy suppressor of glucose transport defects, likely due to the presence of an HXT4 regulatory element in the region"
Q0050,Q0050,AI1,P03875,"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"
Q0055,Q0055,AI2,P03876,"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"
Q0060,Q0060,AI3,P03877,"Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene"
Q0065,Q0065,AI4,P03878,"Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity"
Q0070,Q0070,AI5_ALPHA,Q9ZZX1,"Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene"
Q0075,Q0075,AI5_BETA,Q9ZZX0,"Protein of unknown function, encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG"
YNR074C,YNR074C,AIF1,P52923,"Mitochondrial cell death effector that translocates to the nucleus in response to apoptotic stimuli, homolog of mammalian Apoptosis-Inducing Factor, putative reductase"
YAL046C,YAL046C,BOL3,P39724,Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
YER087W,YER087W,AIM10,P39965,Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss
YER093C-A,YER093C-A,AIM11,P87275,Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron
YGL160W,YGL160W,AIM14,P53109,"Protein with similarity to iron/copper reductases (FRE1-8), possibly involved in iron homeostasis; may interact with ribosomes; null mutant displays elevated frequency of mitochondrial genome loss"
YHL021C,YHL021C,AIM17,P23180,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss"
YHR198C,YHR198C,AIM18,P38884,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
YIL087C,YIL087C,AIM19,P40502,"Putative protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth"
YAL049C,YAL049C,AIM2,P39721,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
YIL158W,YIL158W,AIM20,P40451,Putative protein of unknown function; overexpression causes a cell cycle delay or arrest; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; null mutant displays elevated frequency of mitochondrial genome loss
YIR003W,YIR003W,AIM21,P40563,Protein of unknown function involved in mitochondrial migration along actin filament; may interact with ribosomes; GFP-fusion protein colocalizes with Sac1p to the actin cytoskeleton
YJL046W,YJL046W,AIM22,P47051,"Putative lipoate-protein ligase, required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p; similar to E. coli LplA; null mutant displays reduced frequency of mitochondrial genome loss"
YJL131C,YJL131C,AIM23,P47015,"Putative protein of unknown function; the authentic non-tagged protein is detected in highly purified mitochondria; null mutant is viable, displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss"
YJR080C,YJR080C,AIM24,P47127,"Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss"
YJR100C,YJR100C,AIM25,P47140,Putative protein of unknown function; non-tagged protein is detected in purified mitochondria in high-throughput studies; similar to murine NOR1; null mutant is viable and displays elevated frequency of mitochondrial genome loss
YKL037W,YKL037W,AIM26,P32858,Putative protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss; null mutation confers sensitivity to tunicamycin and DTT
YKR074W,YKR074W,AIM29,P36154,Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm; YKR074W is not an essential gene; null mutant displays elevated frequency of mitochondrial genome loss
YBR108W,YBR108W,AIM3,P38266,Protein interacting with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss
YML050W,YML050W,AIM32,Q04689,Putative protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss
YML087C,YML087C,AIM33,Q04516,"Putative protein of unknown function, highly conserved across species and orthologous to human CYB5R4; null mutant displays reduced frequency of mitochondrial genome loss"
YMR003W,YMR003W,AIM34,Q03673,Protein of unknown function; GFP-fusion protein localizes to the mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss
YMR157C,YMR157C,AIM36,Q03798,"Protein of unknown function; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"
YOL053W,YOL053W,AIM39,Q08223,Putative protein of unknown function; null mutant displays elevated frequency of mitochondrial genome loss
YOR215C,YOR215C,AIM41,Q12032,Putative protein of unknown function; the authentic protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss
YPL158C,YPL158C,AIM44,Q99299,Protein of unknown function; GFP-fusion protein localizes to the bud neck; transcription is regulated by Swi5p; null mutant displays elevated frequency of mitochondrial genome loss
YPR004C,YPR004C,AIM45,Q12480,"Putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response"
YHR199C,YHR199C,AIM46,P38885,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
YBR194W,YBR194W,AIM4,P38305,"Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress"
YDL237W,YDL237W,AIM6,Q07716,"Putative protein of unknown function, required for respiratory growth; YDL237W is not an essential gene"
YDR063W,YDR063W,AIM7,Q12156,Protein that interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss
YER080W,YER080W,AIM9,P40053,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
YMR092C,YMR092C,AIP1,P46680,"Actin cortical patch component, interacts with the actin depolymerizing factor cofilin; required to restrict cofilin localization to cortical patches; contains WD repeats"
YIL079C,YIL079C,AIR1,P40507,"Zinc knuckle protein, involved in nuclear RNA processing and degradation as a component of the TRAMP complex; stimulates the poly(A) polymerase activity of Pap2p in vitro; functionally redundant with Air2p"
YDL175C,YDL175C,AIR2,Q12476,"Zinc knuckle protein, involved in nuclear RNA processing and degredation as a component of the TRAMP complex; stimulates the poly(A) polymerase activity of Pap2p in vitro; functionally redundant with Air1p"
YBR059C,YBR059C,AKL1,P38080,"Ser-Thr protein kinase, member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization"
YDR264C,YDR264C,AKR1,P39010,Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats
YOR034C,YOR034C,AKR2,Q12013,Ankyrin repeat-containing protein similar to Akr1p; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; possibly involved in constitutive endocytosis of Ste3p
YOR335C,YOR335C,ALA1,P40825,"Cytoplasmic and mitochondrial alanyl-tRNA synthetase, required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog"
YJL122W,YJL122W,ALB1,P47019,Shuttling pre-60S factor; involved in the biogenesis of ribosomal large subunit; interacts directly with Arx1p; responsible for Tif6p recycling defects in absence of Rei1p
YMR170C,YMR170C,ALD2,P47771,"Cytoplasmic aldehyde dehydrogenase, involved in ethanol oxidation and beta-alanine biosynthesis; uses NAD+ as the preferred coenzyme; expression is stress induced and glucose repressed; very similar to Ald3p"
YMR169C,YMR169C,ALD3,P54114,"Cytoplasmic aldehyde dehydrogenase, involved in beta-alanine synthesis; uses NAD+ as the preferred coenzyme; very similar to Ald2p; expression is induced by stress and repressed by glucose"
YOR374W,YOR374W,ALD4,P46367,"Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed"
YER073W,YER073W,ALD5,P40047,"Mitochondrial aldehyde dehydrogenase, involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed"
YPL061W,YPL061W,ALD6,P54115,"Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress"
YOR175C,YOR175C,ALE1,Q08548,"Broad-specificity lysophospholipid acyltransferase, part of MBOAT family of membrane-bound O-acyltransferases; key component of Lands cycle; may have role in fatty acid exchange at sn-2 position of mature glycerophospholipids"
YNL148C,YNL148C,ALF1,P53904,"Alpha-tubulin folding protein, similar to mammalian cofactor B; Alf1p-GFP localizes to cytoplasmic microtubules; required for the folding of alpha-tubulin and may play an additional role in microtubule maintenance"
YBR110W,YBR110W,ALG1,P16661,"Mannosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability, mutation is functionally complemented by human ortholog"
YNL048W,YNL048W,ALG11,P53954,"Alpha-1,2-mannosyltransferase, catalyzes sequential addition of the two terminal alpha 1,2-mannose residues to the Man5GlcNAc2-PP-dolichol intermediate during asparagine-linked glycosylation in the ER"
